kHz ,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
147.000,,,,K6RMW ,,,Watsonville ,,,,147.600,RM,94.8 PL,,Watsonville,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147.000,,,,K6RMW,,,Coordinated,,,,147.600,,,94.8,K6RMWK6GDI,FMN,Ham,,Watsonville,,o94.8ers,narcc.org,,,,y
147.030,,,,AE6HC,,,Coordinated,,,,147.630,,,127.3,HVRA,FMN,Ham,,Arroyo Grande,,o127.3e,narcc.org,,,,
147.060,,,,W6PRB,,,Coordinated,,,,147.660,,,127.3,PRHS-ARC,FMN,Ham,,Paso Robles,,o127.3ers,narcc.org,,,,y
147.120,,,,WR6AOK ,,,Ben Lomond ,,,,147.720,RM,94.8 PL,,BenLomnd,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147.120,,,,WA6VPL,,,Coordinated,,,,147.720,,,131.8,WA6VPL,FMN,Ham,,Lompoc,,o131.8es,narcc.org,,,,y
147.120,,,,WR6AOK,,,Coordinated,,,,147.720,,,94.8,SLVARC,FMN,Ham,,Ben Lomond,,o94.8els,narcc.org,,,,y
147.150,,,,WA6YCZ,,,Coordinated,,,,147.750,,,,BAYCOM,FMN,Ham,,San Jose,,celx,narcc.org,,,,
147.165,,,,KB6FEC,,,Coordinated,,,,147.765,,,100.0,KB6FEC,FMN,Ham,,San Jose,,o100.0rs,narcc.org,,,,y
147.165,,,,KB6FEC,,,Coordinated,,,,147.765,,,162.2,KB6FEC,FMN,Ham,,San Jose,,o162.2ers,narcc.org,,,,y
147.180,,,,W6WLS ,,,Santa Cruz Mountains (Felton / Bonny Doon) ,,,,147.780,RM,94.8 PL,,SCZ Mtns,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147.180,,,,W6WLS,,,Coordinated,,,,147.780,,,94.8,W6WLS,FMN,Ham,,Felton,,o94.8elsx,narcc.org,,I:3228,y,y
147.270,,,,KC6TOX,,,Not Coordinated,,,,147.870,,,127.3,SLOECC,FMN,Ham,,Cambria,,#o127.3,narcc.org,,,,
147.285,,,,KF6FWO,,,Coordinated,,,,147.885,,,103.5,MARA,FMN,Ham,,San Jose,,o103.5aer,narcc.org,,,,
147.315,,,,N6SBC,,,Coordinated,,,,147.915,,,94.8,SBC OES,FMN,Ham,,Hollister,,o94.8els,narcc.org,,,,y
147.315,,,,N6SBC,,,Coordinated,,,,147.915,,,146.2,SBC ARES,FMN,Ham,,Hollister,,o146.2es,narcc.org,,,,y
147.330,,,,K7DAA,,,Coordinated,,,,147.930,,,103.5,MHARS,FMN,Ham,,Morgan Hill,,o103.5ae,narcc.org,E:9537,I:7662,,
147.360,,,,W6FM,,,Coordinated,,,,147.960,,,127.3,W6FM,FMN,Ham,,SanLuisObispo,,o127.3ers,narcc.org,,,,y
147.360,,,,W6TI,,,Coordinated,,,,147.960,,,110.9,NCDXC,FMN,Ham,,Palo Alto,,o110.9esx,narcc.org,,,y,y
147.390,,,,W6PIY,,,Coordinated,,,,147.990,,,151.4,WVARA,FMN,Ham,,San Jose,,o151.4aels,narcc.org,,,,y
147.675,,,,KB6FEC,,,Not Coordinated,,,,147.075,,,162.2,KB6FEC,FMN,Ham,,San Jose,,#o162.2,narcc.org,,,,
147.825,,,,W6GGF,,,Coordinated,,,,147.225,,,100.0,GVARC,FMN,Ham,,Morgan Hill,,o100.0aers,narcc.org,,,,y
147.855,,,,WA6TEM,,,Coordinated,,,,147.255,,,100.0,WA6HNE,FMN,Ham,,San Jose,,o100.0ae,narcc.org,,,,
147.945,,,,KI6EH ,,,Watsonville ,,,,147.345,RM,94.8 PL,,Watsonville,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147.945,,,,KI6EH,,,Coordinated,,,,147.345,,,94.8,SCCARC,FMN,Ham,,Watsonville,,o94.8elrs,narcc.org,,,,y
147.945,,,,N6QDY,,,Coordinated,,,,147.345,,,77.0,C.A.R.U.N.,FMN,Ham,,Milpitas,,o77.0elsx,narcc.org,,,y,y
147.990,,,,WB6MIA,,,Coordinated,,,,147.390,,,127.3,SLOECC,FMN,Ham,,Nipomo,,o127.3rs,narcc.org,,,,y
150.775,,,,,,,Tac Silver ,,,,,RM,192.8 PL,,SCCoFD Sil,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
151.040,,,,,,,Tac Orange ,,,,,RM,151.4 PL,,SCCoFD Orn,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
151.100,,,,,,,County Roads ,,,,159.195,RM,CSQ,,SCC Roads,FM ,Public Works ,Santa Cruz,,,,RadioReference,,,,
152.360,,,,WNKD229 ,,,Yellow Cab Co - Base ,,,,,B,,,Yellow Cab B,FM ,Transportation ,Santa Cruz,,,,RadioReference,,,,
153.410,,,,KMK835  ,,,Water Department ,,,,158.160,RM,,,SntaCruzWtr,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
153.515,,,,WNHB862 ,,,District Operations ,,,,,BM,,,SVWD Ops,FM ,Utilities ,Santa Cruz,Scotts Valley,Water,,RadioReference,,,,
153.530,,,,KFM822 ,,,District Operations ,,,,158.190,RM,131.8 PL,,SCWD Ops,FM ,Utilities ,Santa Cruz,Soquel,Water,,RadioReference,,,,
153.635,,,,KMB879 ,,,Santa Cruz Area Electric ,,,,,BM,103.5 PL,,PG&E S Cruz,FM ,Utilities ,Santa Cruz,,Pacific Gas and Electric,,RadioReference,,,,
153.995,,,,KNHB808 ,,,Police Secondary Yellow ,,,,,BM,,,CapitolaPD 2,FM ,Law Tac ,Santa Cruz,Capitola,,,RadioReference,,,,
154.055,,,,KD28224  ,,,Common Black ,,,,,M,162.2 PL,,SCCSO Black,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
154.055,,,,,,,South Tac Black ,,,,,BM,192.8 PL,,SCCoFD Blk,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
154.100,,,,KMJ884  ,,,Trash/Recycling ,,,,158.790,RM,103.5 PL,,SntaCruzTras,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
154.190,,,,,,,Valley Tac Yellow ,,,,156.000,RM,103.5 PL,,SCCoFD Yel,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
154.325,,,,,,,Dispatch Red ,,,,153.770,RM,118.8 PL,,SCCoFD Red,FM ,Fire Dispatch ,Santa Cruz,,Fire,,RadioReference,,,,
154.415,,,,,,,Coastal Tac Blue ,,,,,BM,151.4 PL,,SCCoFD Blu,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
154.445,,,,,,,East Tac Green ,,,,,BM,162.2 PL,,SCCoFD Grn,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
154.555,,,,,,,Detectives Brown ,,,,,M,162.2 PL,,SCCSO Brown,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
154.770,,,,KMA233 ,,,Police Dispatch ,,,,155.655,RM,162.2 PL,,SntaCruzPD1,FM ,Law Dispatch ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
154.845,,,,KMA340 ,,,Police Dispatch Blue ,,,,158.730,RM,162.2 PL,,WatsnvillePD,FM ,Law Dispatch ,Santa Cruz,Wattsonville,,,RadioReference,,,,
154.950,,,,WSQ977 ,,,Mutual Aid Red ,,,,159.150,RM,CSQ,,SCCSO Red,FMN ,Interop ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.010,,,,,,,Mobile Extenders ,,,,,M,CSQ,,SCCSO Ext,FM ,Law Talk ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.055,,,,,,,County Animal Control ,,,,153.935,RM,CSQ,,SCCAnimalCTL,FM ,Public Works ,Santa Cruz,,,,RadioReference,,,,
155.070,,,,KBV97 ,,,Tac Green ,,,,,M,162.2 PL,,SCCSO Green,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.085,,,,KLI289 ,,,Police Dispatch Blue ,,,,153.905,RM,162.2 PL,,ScottsVlyPD1,FM ,Law Dispatch ,Santa Cruz,Scotts Valley,,,RadioReference,,,,
155.145,,,,WPIC576 ,,,Santa Cruz Port District ,,,,,BM,,,StnaCruzPort,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
155.160,,,,KD31427 ,,,Disaster 1 - Search & Rescue / SWAT ,,,,,M,162.2 PL,,SCCSO Dis 1,FM ,Emergency Ops ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.220,,,,WNWN528 ,,,Disaster 2 Gold ,,,,,M,CSQ,,SCCSO Dis 2,FM ,Emergency Ops ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.220,,,,WNWN528 ,,,Lifeguards ,,,,,BM,123.0 PL,,StnaCruzL/G,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
155.235,,,,KB54173 ,,,Search & Rescue ,,,,,M,162.2 PL,,SCCSO SAR,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.265,,,,KD31427 ,,,SWAT/Explorers ,,,,,M,162.2 PL,,SCCSO SWAT,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.310,,,,WNHI428 ,,,Jail Security ,,,,158.865,RM,162.2 PL,,SCCSO Jail,FM ,Law Dispatch ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.385,,,,,,,Medic-Hospital ,,,,,BM,118.8 PL,,SCCo Med,FM ,Hospital ,Santa Cruz,,EMS,,RadioReference,,,,
155.565,,,,WSQ977 ,,,Dispatch Blue ,,,,159.030,RM,CSQ,,SCCSO Blue,FMN ,Law Dispatch ,Santa Cruz,,Sheriff,,RadioReference,,,,
155.625,,,,KUZ592 ,,,Police Dispatch Blue ,,,,158.970,RM,162.2 PL,,CapitolaPD 1,FM ,Law Dispatch ,Santa Cruz,Capitola,,,RadioReference,,,,
155.880,,,,WNVA542 ,,,Police Secondary ,,,,158.760,RM,123.0 PL,,SntaCruzPD2,FM ,Law Tac ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
